Rank,Country,ISO3,Population_M,Eligible_M,GX_Impact_Index,Tier,Need_Score,Readiness_Score,Treasury_GX_B,Treasury_USD_B,Individual_GX_B,Individual_USD_B,Grant_Impact_Multiple,Unbanked_Pct,Inflation_Pct,Remittance_Pct_GDP,Mobile_Per_100
157,Portugal,PRT,10.7,6.42,32.4,Tier 4: Strategic Impact,7.1,25.3,0.385,46.20,0.873,104.72,0.56,8.60,2.42,0.59,123.00
158,Czechia,CZE,10.9,6.54,31.9,Tier 4: Strategic Impact,6.6,25.3,0.393,47.11,0.890,106.78,0.51,7.72,2.44,1.24,126.00
159,Lithuania,LTU,2.9,1.73,31.8,Tier 4: Strategic Impact,5.7,26.1,0.104,12.48,0.236,28.28,0.56,1.01,0.72,1.22,137.20
160,Spain,ESP,48.8,29.31,31.3,Tier 4: Strategic Impact,4.4,26.9,1.759,211.03,3.986,478.33,0.46,1.62,2.77,0.34,127.72
161,Guyana,GUY,0.8,0.50,31.2,Tier 4: Strategic Impact,8.9,22.2,0.030,3.59,0.068,8.14,0.55,,2.90,3.22,112.57
162,"Hong Kong SAR, China",HKG,7.5,4.51,31.2,Tier 4: Strategic Impact,0.7,30.5,0.271,32.50,0.614,73.68,0.30,2.20,1.73,0.12,319.49
163,Italy,ITA,59.0,35.37,31.1,Tier 4: Strategic Impact,5.2,25.9,2.122,254.68,4.811,577.26,0.40,13.98,0.98,0.52,131.87
164,Cyprus,CYP,1.4,0.81,30.3,Tier 4: Strategic Impact,4.4,25.9,0.049,5.87,0.111,13.30,0.42,3.87,1.80,1.81,148.33
165,Papua New Guinea,PNG,10.6,6.35,30.0,Tier 4: Strategic Impact,17.0,13.0,0.381,45.69,0.863,103.57,5.43,,0.60,0.04,34.06
166,Slovenia,SVN,2.1,1.28,29.7,Tier 5: Adoption-Led,4.8,24.9,0.077,9.19,0.174,20.83,0.48,1.25,1.97,1.33,129.23
167,Singapore,SGP,6.0,3.62,28.9,Tier 5: Adoption-Led,1.0,27.9,0.217,26.08,0.493,59.11,0.18,2.03,2.39,,173.20
168,Israel,ISR,10.0,5.98,28.1,Tier 5: Adoption-Led,2.5,25.6,0.359,43.09,0.814,97.67,0.30,10.73,3.07,0.19,153.34
169,"Macao SAR, China",MAC,0.7,0.41,28.1,Tier 5: Adoption-Led,0.3,27.8,0.025,2.97,0.056,6.73,0.23,,0.67,0.24,192.48
170,Qatar,QAT,2.9,1.71,27.3,Tier 5: Adoption-Led,0.7,26.6,0.103,12.35,0.233,27.98,0.21,,1.27,0.66,157.82
171,Luxembourg,LUX,0.7,0.41,26.9,Tier 5: Adoption-Led,2.1,24.8,0.024,2.92,0.055,6.63,0.12,,2.05,2.84,144.47
172,Malta,MLT,0.6,0.34,26.6,Tier 5: Adoption-Led,2.4,24.2,0.020,2.46,0.046,5.57,0.37,3.44,1.65,0.07,140.59
173,Sweden,SWE,10.6,6.34,26.5,Tier 5: Adoption-Led,1.0,25.5,0.381,45.66,0.862,103.50,0.29,1.43,2.84,0.67,140.27
174,France,FRA,68.6,41.13,25.9,Tier 5: Adoption-Led,1.9,24.0,2.468,296.14,5.594,671.26,0.35,0.81,2.00,1.20,116.69
175,Andorra,AND,0.1,0.05,25.8,Tier 5: Adoption-Led,1.6,24.2,0.003,0.35,0.007,0.80,0.33,,,1.28,156.10
176,Germany,DEU,83.5,50.11,25.8,Tier 5: Adoption-Led,0.8,25.0,3.007,360.79,6.815,817.79,0.29,1.70,2.26,0.46,124.66
177,United States,USA,340.1,204.07,25.8,Tier 5: Adoption-Led,1.0,24.8,12.244,1469.28,27.753,3330.37,0.19,2.98,2.95,0.03,112.41
178,United Kingdom,GBR,69.2,41.54,25.7,Tier 5: Adoption-Led,0.7,25.0,2.492,299.06,5.649,677.86,0.31,0.72,3.27,0.13,122.78
179,Netherlands,NLD,18.0,10.80,25.5,Tier 5: Adoption-Led,0.8,24.7,0.648,77.73,1.468,176.19,0.24,0.83,3.35,0.38,125.27
180,Switzerland,CHE,9.0,5.40,25.4,Tier 5: Adoption-Led,0.6,24.8,0.324,38.90,0.735,88.18,0.16,1.59,1.06,0.39,130.22
181,"Bahamas, The",BHS,0.4,0.24,25.1,Tier 5: Adoption-Led,3.9,21.1,0.014,1.73,0.033,3.93,0.41,,0.41,0.41,100.05
182,Denmark,DNK,6.0,3.59,25.0,Tier 5: Adoption-Led,0.6,24.4,0.215,25.82,0.488,58.53,0.23,1.35,1.37,0.38,126.72
183,New Zealand,NZL,5.3,3.17,24.9,Tier 5: Adoption-Led,1.1,23.8,0.190,22.84,0.431,51.78,0.33,2.14,2.92,0.16,126.85
184,Australia,AUS,27.2,16.32,24.6,Tier 5: Adoption-Led,0.9,23.7,0.979,117.49,2.219,266.31,0.25,1.99,3.17,0.09,112.51
185,Austria,AUT,9.2,5.51,24.6,Tier 5: Adoption-Led,0.8,23.8,0.330,39.65,0.749,89.87,0.28,0.49,2.94,0.63,121.75
186,Finland,FIN,5.6,3.37,24.2,Tier 5: Adoption-Led,0.4,23.8,0.202,24.28,0.459,55.03,0.31,0.16,1.57,0.25,127.47
187,Aruba,ABW,0.1,0.06,24.1,Tier 5: Adoption-Led,6.7,17.4,0.004,0.47,0.009,1.06,0.41,,,1.02,130.65
188,Belgium,BEL,11.9,7.12,24.0,Tier 5: Adoption-Led,1.7,22.3,0.427,51.23,0.968,116.12,0.29,1.76,3.14,2.25,103.20
189,Norway,NOR,5.6,3.34,23.8,Tier 5: Adoption-Led,0.8,22.9,0.201,24.07,0.455,54.56,0.19,1.44,3.15,0.20,109.65
190,Iceland,ISL,0.4,0.23,23.6,Tier 5: Adoption-Led,1.2,22.4,0.014,1.67,0.032,3.78,0.19,0.15,5.86,0.70,121.48
191,Ireland,IRL,5.4,3.24,23.4,Tier 5: Adoption-Led,0.7,22.8,0.194,23.31,0.440,52.84,0.14,1.71,2.11,0.10,110.80
192,Canada,CAN,41.3,24.77,22.8,Tier 5: Adoption-Led,0.7,22.2,1.486,178.37,3.369,404.30,0.30,1.60,2.38,0.04,94.15
193,Syrian Arab Republic,SYR,24.7,14.80,22.6,Tier 5: Adoption-Led,6.4,16.2,0.888,106.59,2.013,241.60,,,,,72.44
194,San Marino,SMR,0.0,0.02,22.4,Tier 5: Adoption-Led,0.9,21.4,0.001,0.15,0.003,0.33,0.27,,1.24,1.10,120.27
195,Liechtenstein,LIE,0.0,0.02,22.1,Tier 5: Adoption-Led,,22.1,0.001,0.17,0.003,0.40,0.08,,,,127.06
196,Monaco,MCO,0.0,0.02,20.2,Tier 5: Adoption-Led,,20.2,0.001,0.17,0.003,0.38,0.06,,,,104.06
197,Turks and Caicos Islands,TCA,0.0,0.03,20.0,Tier 5: Adoption-Led,15.0,5.0,0.002,0.20,0.004,0.46,0.44,,,,
198,Cayman Islands,CYM,0.1,0.04,16.9,Tier 5: Adoption-Led,0.1,16.7,0.003,0.32,0.006,0.73,0.16,,,0.15,139.31
199,Greenland,GRL,0.1,0.03,14.2,Tier 5: Adoption-Led,,14.2,0.002,0.25,0.005,0.56,0.28,,,,118.64
200,Faroe Islands,FRO,0.1,0.03,12.7,Tier 5: Adoption-Led,,12.7,0.002,0.24,0.004,0.54,0.22,,,,105.80
201,Channel Islands,CHI,0.2,0.10,1.0,Tier 5: Adoption-Led,,1.0,0.006,0.73,0.014,1.65,0.22,,,,
