Rank,Country,ISO3,Population_M,Eligible_M,GX_Impact_Index,Tier,Need_Score,Readiness_Score,Treasury_GX_B,Treasury_USD_B,Individual_GX_B,Individual_USD_B,Grant_Impact_Multiple,Unbanked_Pct,Inflation_Pct,Remittance_Pct_GDP,Mobile_Per_100
38,Viet Nam,VNM,101.0,60.59,48.9,Tier 3: Moderate Impact,19.8,29.1,3.636,436.27,8.241,988.87,3.46,29.45,3.62,,130.99
39,Jordan,JOR,11.6,6.93,48.7,Tier 3: Moderate Impact,24.5,24.2,0.416,49.91,0.943,113.13,3.53,53.54,1.56,8.53,67.55
40,Tonga,TON,0.1,0.06,48.7,Tier 3: Moderate Impact,31.0,17.7,0.004,0.45,0.009,1.02,2.89,,3.23,42.61,61.73
41,Ukraine,UKR,37.9,22.72,47.8,Tier 3: Moderate Impact,18.7,29.1,1.363,163.56,3.089,370.73,3.03,12.42,6.50,8.26,133.38
42,Comoros,COM,0.9,0.52,47.6,Tier 3: Moderate Impact,27.8,19.8,0.031,3.74,0.071,8.49,9.82,54.54,5.05,23.03,109.86
43,Pakistan,PAK,251.3,150.76,47.3,Tier 3: Moderate Impact,26.7,20.6,9.046,1085.48,20.504,2460.43,11.04,72.70,12.63,7.89,76.54
44,Cote d'Ivoire,CIV,31.9,19.16,47.1,Tier 3: Moderate Impact,19.1,28.0,1.150,137.96,2.606,312.70,5.98,42.43,3.45,1.62,171.99
45,Bhutan,BTN,0.8,0.47,47.0,Tier 3: Moderate Impact,22.1,24.9,0.028,3.42,0.065,7.75,4.26,,2.76,3.58,95.63
46,Kosovo,XKX,1.6,0.96,46.7,Tier 3: Moderate Impact,33.5,13.2,0.057,6.89,0.130,15.61,2.32,35.84,,,34.54
47,South Africa,ZAF,64.0,38.40,46.6,Tier 3: Moderate Impact,14.4,32.2,2.304,276.51,5.223,626.76,2.60,18.87,4.36,0.21,171.51
48,Afghanistan,AFG,42.6,25.59,46.4,Tier 3: Moderate Impact,30.8,15.6,1.535,184.24,3.480,417.60,39.44,90.35,-6.60,,55.55
49,Armenia,ARM,3.0,1.82,46.3,Tier 3: Moderate Impact,19.0,27.3,0.109,13.10,0.248,29.70,1.91,28.63,0.27,6.40,134.52
50,Turkiye,TUR,85.5,51.31,46.3,Tier 3: Moderate Impact,19.8,26.5,3.079,369.44,6.978,837.40,1.03,18.45,58.51,0.09,105.68
51,Algeria,DZA,46.8,28.09,46.2,Tier 3: Moderate Impact,19.5,26.7,1.685,202.24,3.820,458.41,2.84,64.71,4.05,0.75,111.61
52,Bangladesh,BGD,173.6,104.14,46.2,Tier 3: Moderate Impact,22.1,24.2,6.248,749.79,14.163,1699.52,6.29,56.72,10.47,5.05,111.28
53,Haiti,HTI,11.8,7.06,46.2,Tier 3: Moderate Impact,27.1,19.2,0.424,50.86,0.961,115.28,7.62,,26.95,18.91,65.19
54,Iraq,IRQ,46.0,27.63,46.2,Tier 3: Moderate Impact,19.8,26.4,1.658,198.90,3.757,450.84,2.69,69.84,-12.30,0.43,101.39
55,Lesotho,LSO,2.3,1.40,46.2,Tier 3: Moderate Impact,27.3,18.9,0.084,10.10,0.191,22.89,16.79,38.43,6.11,22.65,69.35
56,Russian Federation,RUS,143.5,86.12,46.2,Tier 3: Moderate Impact,12.1,34.1,5.167,620.07,11.712,1405.48,1.10,20.66,8.43,0.13,180.84
57,Sierra Leone,SLE,8.6,5.19,46.1,Tier 3: Moderate Impact,26.0,20.0,0.311,37.33,0.705,84.62,20.23,61.38,28.63,4.57,107.88
58,Paraguay,PRY,6.9,4.16,46.0,Tier 3: Moderate Impact,18.9,27.1,0.249,29.93,0.565,67.85,2.54,39.08,3.84,2.16,126.61
59,Indonesia,IDN,283.5,170.09,45.9,Tier 3: Moderate Impact,17.8,28.2,10.206,1224.67,23.133,2775.91,3.31,43.67,2.18,1.06,125.24
60,Thailand,THA,71.7,43.00,45.9,Tier 3: Moderate Impact,12.7,33.2,2.580,309.61,5.848,701.77,2.22,8.18,1.37,1.88,168.64
61,Belarus,BLR,9.1,5.48,45.7,Tier 3: Moderate Impact,16.9,28.8,0.329,39.45,0.745,89.43,1.96,,5.79,2.33,128.98
62,Eswatini,SWZ,1.2,0.75,45.7,Tier 3: Moderate Impact,21.0,24.7,0.045,5.37,0.101,12.17,4.17,34.88,,1.73,128.40
63,Chad,TCD,20.3,12.18,45.6,Tier 3: Moderate Impact,29.7,15.9,0.731,87.69,1.656,198.77,16.97,79.10,8.90,,70.19
64,Mauritius,MUS,1.2,0.75,45.6,Tier 3: Moderate Impact,16.6,29.0,0.045,5.38,0.102,12.20,1.36,10.40,3.60,2.24,165.26
65,Albania,ALB,2.4,1.43,45.5,Tier 3: Moderate Impact,21.9,23.6,0.086,10.27,0.194,23.28,1.43,53.93,2.22,8.67,93.00
66,Sudan,SDN,50.4,30.27,45.5,Tier 3: Moderate Impact,24.4,21.1,1.816,217.94,4.117,494.00,16.58,,,2.90,70.21
67,Mexico,MEX,130.9,78.52,45.0,Tier 3: Moderate Impact,18.1,26.9,4.711,565.32,10.678,1281.39,1.15,46.97,4.72,3.68,111.74
68,Nigeria,NGA,232.7,139.61,45.0,Tier 3: Moderate Impact,22.1,22.9,8.376,1005.18,18.987,2278.40,15.05,36.74,33.24,4.01,98.48
69,Fiji,FJI,0.9,0.56,44.8,Tier 4: Strategic Impact,20.5,24.3,0.033,4.01,0.076,9.09,2.54,,3.89,8.75,112.00
70,"Congo, Rep.",COG,6.3,3.80,44.7,Tier 4: Strategic Impact,24.0,20.8,0.228,27.36,0.517,62.01,6.57,44.42,3.09,,94.87
71,Peru,PER,34.2,20.53,44.7,Tier 4: Strategic Impact,17.2,27.5,1.232,147.82,2.792,335.06,1.93,40.69,2.01,1.67,121.98
72,Ghana,GHA,34.4,20.66,44.6,Tier 4: Strategic Impact,19.4,25.2,1.239,148.73,2.809,337.11,6.83,18.76,22.85,3.05,98.81
73,Sri Lanka,LKA,21.9,13.15,44.6,Tier 4: Strategic Impact,18.4,26.2,0.789,94.68,1.788,214.60,3.61,18.31,-0.43,7.19,142.28
74,Vanuatu,VUT,0.3,0.20,44.6,Tier 4: Strategic Impact,25.5,19.1,0.012,1.42,0.027,3.21,4.78,,11.18,18.75,89.29
75,Bolivia,BOL,12.4,7.45,44.5,Tier 4: Strategic Impact,19.1,25.4,0.447,53.63,1.013,121.55,3.69,43.15,5.10,2.77,101.57
76,Mauritania,MRT,5.2,3.10,44.3,Tier 4: Strategic Impact,23.7,20.6,0.186,22.33,0.422,50.62,7.73,72.69,2.49,1.56,90.77
77,Azerbaijan,AZE,10.2,6.12,44.2,Tier 4: Strategic Impact,17.3,26.8,0.367,44.08,0.833,99.91,2.24,43.70,2.21,2.64,107.69
78,Bosnia and Herzegovina,BIH,3.2,1.90,44.2,Tier 4: Strategic Impact,18.0,26.2,0.114,13.67,0.258,30.98,1.74,22.54,1.69,10.23,117.73
79,Guinea-Bissau,GNB,2.2,1.32,44.2,Tier 4: Strategic Impact,22.6,21.6,0.079,9.51,0.180,21.56,16.19,,3.77,9.61,128.11
80,Gabon,GAB,2.5,1.52,44.1,Tier 4: Strategic Impact,19.2,24.9,0.091,10.97,0.207,24.86,1.98,31.82,1.17,,122.61
81,Botswana,BWA,2.5,1.51,43.8,Tier 4: Strategic Impact,15.2,28.6,0.091,10.89,0.206,24.69,2.12,38.56,2.82,0.36,179.03
82,"Congo, Dem. Rep.",COD,109.3,65.57,43.6,Tier 4: Strategic Impact,27.4,16.2,3.934,472.07,8.917,1070.03,25.13,60.79,,4.72,53.19
