ISO3,Country,Population_M,Eligible_M,GDP_Per_Capita_USD,Account_Ownership_Pct,Account_Year,Unbanked_Pct,Mobile_Per_100,Internet_Users_Pct,Remittance_Pct_GDP,Inflation_Pct,Ext_Debt_Pct_GNI,Treasury_GX_B,Treasury_USD_B,Individual_GX_B,Individual_USD_B,Grant_Impact_Multiple,Need_Score,Readiness_Score,GX_Impact_Index,Tier
KHM,Cambodia,17.6,10.58,2627.88,39.03,2024,60.97,120.81,68.93,6.57,0.81,58.46,0.635,76.20,1.439,172.72,6.21,23.9,26.5,50.4,Tier 3: Moderate Impact
CMR,Cameroon,29.1,17.47,1830.01,60.87,2024,39.13,96.48,42.24,1.61,4.53,34.97,1.048,125.81,2.376,285.18,8.92,18.4,21.7,40.1,Tier 4: Strategic Impact
CAN,Canada,41.3,24.77,54340.35,98.40,2024,1.60,94.15,94.15,0.04,2.38,,1.486,178.37,3.369,404.30,0.30,0.7,22.2,22.8,Tier 5: Adoption-Led
CYM,Cayman Islands,0.1,0.04,99143.52,,,,139.31,,0.15,,,0.003,0.32,0.006,0.73,0.16,0.1,16.7,16.9,Tier 5: Adoption-Led
CAF,Central African Republic,5.3,3.20,516.16,,,,38.82,13.84,,1.48,41.66,0.192,23.03,0.435,52.20,31.62,22.1,12.8,34.9,Tier 4: Strategic Impact
TCD,Chad,20.3,12.18,961.56,20.90,2024,79.10,70.19,12.04,,8.90,18.53,0.731,87.69,1.656,198.77,16.97,29.7,15.9,45.6,Tier 3: Moderate Impact
CHI,Channel Islands,0.2,0.10,74585.52,,,,,,,,,0.006,0.73,0.014,1.65,0.22,,1.0,1.0,Tier 5: Adoption-Led
CHL,Chile,19.8,11.86,16709.89,85.07,2024,14.93,135.87,94.46,0.03,4.30,,0.712,85.38,1.613,193.54,0.98,11.4,29.2,40.5,Tier 4: Strategic Impact
CHN,China,1409.0,845.38,13303.15,89.38,2024,10.62,128.25,90.60,0.16,0.22,13.93,50.723,6086.77,114.972,13796.68,1.23,9.7,30.8,40.5,Tier 4: Strategic Impact
COL,Colombia,52.9,31.73,7919.21,57.06,2024,42.94,166.98,77.34,2.76,6.61,55.29,1.904,228.47,4.316,517.86,2.06,19.4,31.4,50.8,Tier 3: Moderate Impact
COM,Comoros,0.9,0.52,1662.76,45.46,2024,54.54,109.86,31.93,23.03,5.05,28.15,0.031,3.74,0.071,8.49,9.82,27.8,19.8,47.6,Tier 3: Moderate Impact
COD,"Congo, Dem. Rep.",109.3,65.57,649.38,39.21,2024,60.79,53.19,18.97,4.72,,17.15,3.934,472.07,8.917,1070.03,25.13,27.4,16.2,43.6,Tier 4: Strategic Impact
COG,"Congo, Rep.",6.3,3.80,2482.25,55.58,2024,44.42,94.87,43.15,,3.09,51.98,0.228,27.36,0.517,62.01,6.57,24.0,20.8,44.7,Tier 4: Strategic Impact
CRI,Costa Rica,5.1,3.08,18587.15,71.35,2024,28.65,133.53,85.40,0.77,-0.41,,0.185,22.16,0.419,50.23,0.88,13.0,27.0,40.0,Tier 4: Strategic Impact
CIV,Cote d'Ivoire,31.9,19.16,2727.89,57.57,2024,42.43,171.99,40.65,1.62,3.45,46.08,1.150,137.96,2.606,312.70,5.98,19.1,28.0,47.1,Tier 3: Moderate Impact
HRV,Croatia,3.9,2.32,24050.44,92.64,2024,7.36,117.11,83.24,7.10,2.97,,0.139,16.70,0.315,37.86,0.68,10.9,24.5,35.5,Tier 4: Strategic Impact
CUB,Cuba,11.0,6.59,,,,,69.58,69.56,,,,0.395,47.43,0.896,107.51,,,19.3,,
CUW,Curacao,0.2,0.09,22832.90,,,,93.80,,5.38,,,0.006,0.67,0.013,1.53,0.71,19.9,15.9,35.8,Tier 4: Strategic Impact
CYP,Cyprus,1.4,0.81,38674.29,96.13,2024,3.87,148.33,91.22,1.81,1.80,,0.049,5.87,0.111,13.30,0.42,4.4,25.9,30.3,Tier 4: Strategic Impact
CZE,Czechia,10.9,6.54,31823.31,92.28,2024,7.72,126.00,85.99,1.24,2.44,,0.393,47.11,0.890,106.78,0.51,6.6,25.3,31.9,Tier 4: Strategic Impact
