ISO3,Country,Pop_15_64_Total,Year
AFG,Afghanistan,23333093,2024
ALB,Albania,1574525,2024
DZA,Algeria,29534577,2024
ASM,American Samoa,30373,2024
AND,Andorra,59134,2024
AGO,Angola,20002446,2024
ATG,Antigua and Barbuda,66030,2024
ARG,Argentina,30150350,2024
ARM,Armenia,2034270,2024
ABW,Aruba,71383,2024
AUS,Australia,17522399,2024
AUT,Austria,5980887,2024
AZE,Azerbaijan,7104496,2024
BHS,"Bahamas, The",282148,2024
BHR,Bahrain,1230105,2024
BGD,Bangladesh,113705228,2024
BRB,Barbados,187017,2024
BLR,Belarus,6030842,2024
BEL,Belgium,7523789,2024
BLZ,Belize,285268,2024
BEN,Benin,8002133,2024
BMU,Bermuda,41787,2024
BTN,Bhutan,574618,2024
BOL,Bolivia,8015521,2024
BIH,Bosnia and Herzegovina,2048283,2024
BWA,Botswana,1609356,2024
BRA,Brazil,146884644,2024
VGB,British Virgin Islands,29952,2024
BRN,Brunei Darussalam,334579,2024
BGR,Bulgaria,4089993,2024
BFA,Burkina Faso,13080453,2024
BDI,Burundi,7412918,2024
CPV,Cabo Verde,354788,2024
KHM,Cambodia,11296444,2024
CMR,Cameroon,16240266,2024
CAN,Canada,26874373,2024
CYM,Cayman Islands,55705,2024
CAF,Central African Republic,2603806,2024
TCD,Chad,10522017,2024
CHI,Channel Islands,110570,2024
CHL,Chile,13617680,2024
CHN,China,976798955,2024
COL,Colombia,36993721,2024
COM,Comoros,506166,2024
COD,"Congo, Dem. Rep.",55612277,2024
COG,"Congo, Rep.",3582468,2024
CRI,Costa Rica,3538385,2024
CIV,Cote d'Ivoire,18049122,2024
HRV,Croatia,2431415,2024
CUB,Cuba,7481292,2024
CUW,Curacao,106510,2024
CYP,Cyprus,941447,2024
CZE,Czechia,6952754,2024
DNK,Denmark,3791657,2024
DJI,Djibouti,771113,2024
DMA,Dominica,45794,2024
DOM,Dominican Republic,7489835,2024
ECU,Ecuador,12187069,2024
EGY,"Egypt, Arab Rep.",73289803,2024
SLV,El Salvador,4249458,2024
GNQ,Equatorial Guinea,1117089,2024
ERI,Eritrea,2038633,2024
EST,Estonia,865468,2024
SWZ,Eswatini,775344,2024
ETH,Ethiopia,76211823,2024
FRO,Faroe Islands,34064,2024
FJI,Fiji,616896,2024
FIN,Finland,3454536,2024
FRA,France,42055285,2024
PYF,French Polynesia,196066,2024
GAB,Gabon,1508973,2024
GMB,"Gambia, The",1564189,2024
GEO,Georgia,2351570,2024
DEU,Germany,52527137,2024
GHA,Ghana,20819475,2024
GIB,Gibraltar,25461,2024
GRC,Greece,6538672,2024
GRL,Greenland,38869,2024
GRD,Grenada,80075,2024
GUM,Guam,103040,2024
GTM,Guatemala,11701574,2024
GIN,Guinea,8210112,2024
GNB,Guinea-Bissau,1277274,2024
GUY,Guyana,532764,2024
HTI,Haiti,7546932,2024
HND,Honduras,7032493,2024
HKG,"Hong Kong SAR, China",5027982,2024
HUN,Hungary,6177612,2024
ISL,Iceland,257381,2024
IND,India,989967399,2024
IDN,Indonesia,193093840,2024
IRN,"Iran, Islamic Rep.",63475136,2024
IRQ,Iraq,27627172,2024
IRL,Ireland,3537072,2024
IMN,Isle of Man,52704,2024
ISR,Israel,5988435,2024
ITA,Italy,37424897,2024
JAM,Jamaica,2075097,2024
JPN,Japan,72876601,2024
JOR,Jordan,7487234,2024
KAZ,Kazakhstan,12761934,2024
KEN,Kenya,33971376,2024
KIR,Kiribati,82149,2024
PRK,"Korea, Dem. People's Rep.",18192245,2024
KOR,"Korea, Rep.",36307699,2024
XKX,Kosovo,1103532,2024
KWT,Kuwait,3852988,2024
KGZ,Kyrgyz Republic,4475861,2024
LAO,Lao PDR,5060934,2024
LVA,Latvia,1172875,2024
LBN,Lebanon,3696945,2024
LSO,Lesotho,1440421,2024
LBR,Liberia,3208590,2024
LBY,Libya,4987238,2024
LIE,Liechtenstein,26297,2024
LTU,Lithuania,1881064,2024
LUX,Luxembourg,465421,2024
MAC,"Macao SAR, China",493413,2024
MDG,Madagascar,18328064,2024
MWI,Malawi,12280351,2024
MYS,Malaysia,25059539,2024
MDV,Maldives,399901,2024
MLI,Mali,12600039,2024
MLT,Malta,379746,2024
MHL,Marshall Islands,22861,2024
MRT,Mauritania,2794594,2024
MUS,Mauritius,892766,2024
MEX,Mexico,87993476,2024
FSM,"Micronesia, Fed. Sts.",70388,2024
MDA,Moldova,1537470,2024
MCO,Monaco,19455,2024
MNG,Mongolia,2208951,2024
MNE,Montenegro,399312,2024
MAR,Morocco,25220566,2024
MOZ,Mozambique,18274202,2024
MMR,Myanmar,37275361,2024
NAM,Namibia,1798301,2024
NRU,Nauru,7093,2024
NPL,Nepal,19293162,2024
NLD,Netherlands,11601889,2024
NCL,New Caledonia,196852,2024
NZL,New Zealand,3420250,2024
NIC,Nicaragua,4544425,2024
NER,Niger,13733709,2024
NGA,Nigeria,130155065,2024
MKD,North Macedonia,1188616,2024
MNP,Northern Mariana Islands,30218,2024
NOR,Norway,3623431,2024
OMN,Oman,3836566,2024
PAK,Pakistan,148335347,2024
PLW,Palau,12460,2024
PAN,Panama,2969081,2024
PNG,Papua New Guinea,6669106,2024
PRY,Paraguay,4495248,2024
PER,Peru,22858026,2024
PHL,Philippines,77198220,2024
POL,Poland,23782080,2024
PRT,Portugal,6702135,2024
PRI,Puerto Rico (US),2038982,2024
QAT,Qatar,2379235,2024
ROU,Romania,12250927,2024
RUS,Russian Federation,94078090,2024
RWA,Rwanda,8370477,2024
WSM,Samoa,121338,2024
SMR,San Marino,22198,2024
STP,Sao Tome and Principe,137250,2024
SAU,Saudi Arabia,25850598,2024
SEN,Senegal,10768138,2024
SRB,Serbia,4149673,2024
SYC,Seychelles,86780,2024
SLE,Sierra Leone,5070151,2024
SGP,Singapore,4506976,2024
SXM,Sint Maarten (Dutch part),30745,2024
SVK,Slovak Republic,3562375,2024
SVN,Slovenia,1351170,2024
SLB,Solomon Islands,486528,2024
SOM,"Somalia, Fed. Rep.",9659535,2024
ZAF,South Africa,43157289,2024
SSD,South Sudan,6938028,2024
ESP,Spain,32207413,2024
LKA,Sri Lanka,14435143,2024
KNA,St. Kitts and Nevis,33064,2024
LCA,St. Lucia,130937,2024
MAF,St. Martin (French part),15745,2024
VCT,St. Vincent and the Grenadines,67229,2024
SDN,Sudan,28365906,2024
SUR,Suriname,421653,2024
SWE,Sweden,6581488,2024
CHE,Switzerland,5856342,2024
SYR,Syrian Arab Republic,16307424,2024
TJK,Tajikistan,6342581,2024
TZA,Tanzania,37309677,2024
THA,Thailand,50087170,2024
TLS,Timor-Leste,855284,2024
TGO,Togo,5448495,2024
TON,Tonga,60298,2024
TTO,Trinidad and Tobago,955936,2024
TUN,Tunisia,8155858,2024
TUR,Turkiye,58380949,2024
TKM,Turkmenistan,4793698,2024
TCA,Turks and Caicos Islands,33820,2024
TUV,Tuvalu,5825,2024
UGA,Uganda,27142399,2024
UKR,Ukraine,25422766,2024
ARE,United Arab Emirates,9022258,2024
GBR,United Kingdom,43830571,2024
USA,United States,220210617,2024
URY,Uruguay,2223696,2024
UZB,Uzbekistan,22919628,2024
VUT,Vanuatu,188112,2024
VEN,"Venezuela, RB",18405026,2024
VNM,Viet Nam,68397760,2024
VIR,Virgin Islands (U.S.),63475,2024
PSE,West Bank and Gaza,3073799,2024
YEM,"Yemen, Rep.",22868019,2024
ZMB,Zambia,12063392,2024
ZWE,Zimbabwe,9236166,2024
