ISO3,Country,Pop_15_64_Pct,Year
LTU,Lithuania,65.1275,2024
XM,Low income,55.1117,2024
XN,Lower middle income,64.4774,2024
LUX,Luxembourg,68.7464,2024
MAC,"Macao SAR, China",71.8214,2024
MDG,Madagascar,57.338,2024
MWI,Malawi,56.7083,2024
MYS,Malaysia,70.4758,2024
MDV,Maldives,75.7678,2024
MLI,Mali,51.4737,2024
MLT,Malta,66.7572,2024
MHL,Marshall Islands,60.8847,2024
MRT,Mauritania,54.0604,2024
MUS,Mauritius,71.6632,2024
MEX,Mexico,67.2419,2024
FSM,"Micronesia, Fed. Sts.",62.2024,2024
MDA,Moldova,63.9998,2024
MCO,Monaco,50.3611,2024
MNG,Mongolia,62.6691,2024
MNE,Montenegro,64.0411,2024
MAR,Morocco,66.2284,2024
MOZ,Mozambique,52.7672,2024
MMR,Myanmar,68.395,2024
NAM,Namibia,59.3473,2024
NRU,Nauru,59.373,2024
NPL,Nepal,65.0674,2024
NLD,Netherlands,64.4783,2024
NCL,New Caledonia,67.2677,2024
NZL,New Zealand,64.6856,2024
NIC,Nicaragua,65.7075,2024
NER,Niger,50.8046,2024
NGA,Nigeria,55.9375,2024
MKD,North Macedonia,65.1525,2024
MNP,Northern Mariana Islands,68.2457,2024
NOR,Norway,65.026,2024
OMN,Oman,72.6411,2024
PAK,Pakistan,59.0344,2024
PLW,Palau,70.4134,2024
PAN,Panama,65.752,2024
PNG,Papua New Guinea,63.0559,2024
PRY,Paraguay,64.8744,2024
PER,Peru,66.8015,2024
PHL,Philippines,66.64,2024
POL,Poland,65.0508,2024
PRT,Portugal,62.6679,2024
PRI,Puerto Rico (US),63.6526,2024
QAT,Qatar,83.2534,2024
ROU,Romania,64.3032,2024
RUS,Russian Federation,65.5442,2024
RWA,Rwanda,58.7131,2024
WSM,Samoa,55.6549,2024
SMR,San Marino,65.3331,2024
STP,Sao Tome and Principe,58.2714,2024
SAU,Saudi Arabia,73.2306,2024
SEN,Senegal,58.1999,2024
SRB,Serbia,63.0029,2024
SYC,Seychelles,71.5098,2024
SLE,Sierra Leone,58.6686,2024
SGP,Singapore,74.6576,2024
SXM,Sint Maarten (Dutch part),70.9219,2024
SVK,Slovak Republic,65.7014,2024
SVN,Slovenia,63.5127,2024
SLB,Solomon Islands,59.3908,2024
SOM,"Somalia, Fed. Rep.",50.8152,2024
ZAF,South Africa,67.4257,2024
SSD,South Sudan,58.0909,2024
ESP,Spain,65.9328,2024
LKA,Sri Lanka,65.8658,2024
KNA,St. Kitts and Nevis,70.5847,2024
LCA,St. Lucia,72.8463,2024
MAF,St. Martin (French part),60.2568,2024
VCT,St. Vincent and the Grenadines,66.8174,2024
SDN,Sudan,56.2269,2024
SUR,Suriname,66.4615,2024
SWE,Sweden,62.2675,2024
CHE,Switzerland,65.0301,2024
SYR,Syrian Arab Republic,66.0949,2024
TJK,Tajikistan,59.8869,2024
TZA,Tanzania,54.4189,2024
THA,Thailand,69.8878,2024
TLS,Timor-Leste,61.0639,2024
TGO,Togo,57.2607,2024
TON,Tonga,57.8812,2024
TTO,Trinidad and Tobago,69.8613,2024
TUN,Tunisia,66.4314,2024
TUR,Turkiye,68.2669,2024
TKM,Turkmenistan,63.9629,2024
TCA,Turks and Caicos Islands,72.6773,2024
TUV,Tuvalu,60.3857,2024
UGA,Uganda,54.2684,2024
UKR,Ukraine,67.149,2024
ARE,United Arab Emirates,82.1221,2024
GBR,United Kingdom,63.3152,2024
USA,United States,64.7467,2024
XT,Upper middle income,68.4625,2024
URY,Uruguay,65.6618,2024
UZB,Uzbekistan,63.0321,2024
VUT,Vanuatu,57.3903,2024
VEN,"Venezuela, RB",64.7938,2024
VNM,Viet Nam,67.7288,2024
VIR,Virgin Islands (U.S.),60.8133,2024
PSE,West Bank and Gaza,58.1152,2024
YEM,"Yemen, Rep.",56.3485,2024
ZMB,Zambia,56.5959,2024
ZWE,Zimbabwe,55.5246,2024
