ISO3,Country,Pop_15_64_Pct,Year
AFG,Afghanistan,54.7115,2024
ALB,Albania,66.2365,2024
DZA,Algeria,63.0888,2024
ASM,American Samoa,64.9471,2024
AND,Andorra,72.169,2024
AGO,Angola,52.7966,2024
ATG,Antigua and Barbuda,70.4159,2024
ARG,Argentina,65.9801,2024
ARM,Armenia,67.0602,2024
ABW,Aruba,66.0988,2024
AUS,Australia,64.4281,2024
AUT,Austria,65.1656,2024
AZE,Azerbaijan,69.6326,2024
BHS,"Bahamas, The",70.3114,2024
BHR,Bahrain,77.4298,2024
BGD,Bangladesh,65.5126,2024
BRB,Barbados,66.2085,2024
BLR,Belarus,66.0362,2024
BEL,Belgium,63.4458,2024
BLZ,Belize,68.3977,2024
BEN,Benin,55.3294,2024
BMU,Bermuda,64.6492,2024
BTN,Bhutan,72.5964,2024
BOL,Bolivia,64.572,2024
BIH,Bosnia and Herzegovina,64.7319,2024
BWA,Botswana,63.8345,2024
BRA,Brazil,69.2857,2024
VGB,British Virgin Islands,75.8848,2024
BRN,Brunei Darussalam,72.3069,2024
BGR,Bulgaria,63.4952,2024
BFA,Burkina Faso,55.5462,2024
BDI,Burundi,52.7693,2024
CPV,Cabo Verde,67.5945,2024
KHM,Cambodia,64.0432,2024
CMR,Cameroon,55.763,2024
CAN,Canada,65.0891,2024
CYM,Cayman Islands,74.8145,2024
CAF,Central African Republic,48.8456,2024
TCD,Chad,51.8348,2024
CHI,Channel Islands,65.766,2024
CHL,Chile,68.8987,2024
CHN,China,69.3269,2024
COL,Colombia,69.9495,2024
COM,Comoros,58.4064,2024
COD,"Congo, Dem. Rep.",50.8915,2024
COG,"Congo, Rep.",56.5686,2024
CRI,Costa Rica,68.9756,2024
CIV,Cote d'Ivoire,56.5197,2024
HRV,Croatia,62.889,2024
CUB,Cuba,68.137,2024
CUW,Curacao,68.2904,2024
CYP,Cyprus,69.3116,2024
CZE,Czechia,63.7573,2024
DNK,Denmark,63.4375,2024
DJI,Djibouti,65.9791,2024
DMA,Dominica,69.1708,2024
DOM,Dominican Republic,65.5419,2024
ECU,Ecuador,67.2002,2024
EGY,"Egypt, Arab Rep.",62.889,2024
SLV,El Salvador,67.0453,2024
GNQ,Equatorial Guinea,59.0266,2024
ERI,Eritrea,57.6601,2024
EST,Estonia,63.065,2024
SWZ,Eswatini,62.3858,2024
ETH,Ethiopia,57.7101,2024
FRO,Faroe Islands,62.2966,2024
FJI,Fiji,66.4197,2024
FIN,Finland,61.4696,2024
FRA,France,61.3483,2024
PYF,French Polynesia,69.5745,2024
GAB,Gabon,59.4329,2024
GMB,"Gambia, The",56.6738,2024
GEO,Georgia,63.5635,2024
DEU,Germany,62.8943,2024
GHA,Ghana,60.4735,2024
GIB,Gibraltar,64.7372,2024
GRC,Greece,62.8408,2024
GRL,Greenland,68.388,2024
GRD,Grenada,68.3194,2024
GUM,Guam,61.4149,2024
GTM,Guatemala,63.5735,2024
GIN,Guinea,55.6437,2024
GNB,Guinea-Bissau,58.0222,2024
GUY,Guyana,64.1045,2024
HTI,Haiti,64.1061,2024
XD,High income,64.7279,2024
HND,Honduras,64.9611,2024
HKG,"Hong Kong SAR, China",66.825,2024
HUN,Hungary,64.6054,2024
ISL,Iceland,66.5918,2024
IND,India,68.2296,2024
IDN,Indonesia,68.1136,2024
IRN,"Iran, Islamic Rep.",69.3204,2024
IRQ,Iraq,60.0043,2024
IRL,Ireland,65.5524,2024
IMN,Isle of Man,62.6238,2024
ISR,Israel,60.038,2024
ITA,Italy,63.4829,2024
JAM,Jamaica,73.088,2024
JPN,Japan,58.7831,2024
JOR,Jordan,64.8084,2024
KAZ,Kazakhstan,61.9735,2024
KEN,Kenya,60.1978,2024
KIR,Kiribati,61.0695,2024
PRK,"Korea, Dem. People's Rep.",68.653,2024
KOR,"Korea, Rep.",70.1584,2024
KWT,Kuwait,78.6764,2024
KGZ,Kyrgyz Republic,61.9765,2024
LAO,Lao PDR,65.1358,2024
LVA,Latvia,62.8509,2024
LBN,Lebanon,63.675,2024
LSO,Lesotho,61.6243,2024
LBR,Liberia,57.1654,2024
LBY,Libya,67.5684,2024
LIE,Liechtenstein,65.0113,2024
