ISO3,Country,Pop_0_14_Pct,Year
SVK,Slovak Republic,15.7612,2024
SVN,Slovenia,14.7149,2024
SLB,Solomon Islands,36.9704,2024
SOM,"Somalia, Fed. Rep.",46.5932,2024
ZAF,South Africa,25.8838,2024
SSD,South Sudan,38.9175,2024
ESP,Spain,12.9217,2024
LKA,Sri Lanka,22.0303,2024
KNA,St. Kitts and Nevis,18.1895,2024
LCA,St. Lucia,17.5369,2024
MAF,St. Martin (French part),21.3364,2024
VCT,St. Vincent and the Grenadines,21.2913,2024
SDN,Sudan,40.4714,2024
SUR,Suriname,25.6392,2024
SWE,Sweden,16.9858,2024
CHE,Switzerland,14.9508,2024
SYR,Syrian Arab Republic,29.1634,2024
TJK,Tajikistan,36.2614,2024
TZA,Tanzania,42.5361,2024
THA,Thailand,14.7495,2024
TLS,Timor-Leste,33.6584,2024
TGO,Togo,39.5258,2024
TON,Tonga,35.4032,2024
TTO,Trinidad and Tobago,17.7603,2024
TUN,Tunisia,24.039,2024
TUR,Turkiye,21.4489,2024
TKM,Turkmenistan,31.5069,2024
TCA,Turks and Caicos Islands,16.0709,2024
TUV,Tuvalu,32.948,2024
UGA,Uganda,43.543,2024
UKR,Ukraine,13.8885,2024
ARE,United Arab Emirates,16.111,2024
GBR,United Kingdom,17.185,2024
USA,United States,17.3246,2024
XT,Upper middle income,19.5247,2024
URY,Uruguay,18.293,2024
UZB,Uzbekistan,31.1034,2024
VUT,Vanuatu,38.3139,2024
VEN,"Venezuela, RB",25.527,2024
VNM,Viet Nam,23.224,2024
VIR,Virgin Islands (U.S.),16.4967,2024
PSE,West Bank and Gaza,38.0471,2024
YEM,"Yemen, Rep.",41.1284,2024
ZMB,Zambia,41.4573,2024
ZWE,Zimbabwe,40.8738,2024
