Rank,Country,ISO3,Population_M,Pop_15_24_M,Pop_15_29_Est_M,Youth_Pct_15_24,Youth_Unemployment_Pct,Youth_Unbanked_Pct,Mobile_Per_100,Internet_Users_Pct,GDP_Per_Capita_USD,GenZ_GX_Total_B,GenZ_USD_Total_B,Grant_Impact_Multiple,Need_Score,Readiness_Score,GenZ_Impact_Index,Tier
115,Kazakhstan,KAZ,20.6,2.82,4.22,13.7,3.8,31.7,127.1,92.9,14155,0.887,106.43,1.8,17.2,28.9,46.1,Tier 3: Moderate Opportunity
116,St. Vincent and the Grenadines,VCT,0.1,0.01,0.02,14.4,,,101.6,75.5,11501,0.005,0.55,2.2,26.5,19.3,45.8,Tier 3: Moderate Opportunity
117,Belize,BLZ,0.4,0.08,0.12,18.9,18.6,42.0,67.2,70.2,7681,0.025,2.98,3.3,28.2,17.6,45.7,Tier 3: Moderate Opportunity
118,Oman,OMN,5.3,0.72,1.07,13.6,13.5,28.6,122.3,95.2,20285,0.226,27.08,1.2,17.7,27.6,45.3,Tier 3: Moderate Opportunity
119,Guinea-Bissau,GNB,2.2,0.45,0.67,20.3,2.8,,128.1,28.7,1008,0.141,16.92,25.0,27.4,17.6,45.0,Tier 3: Moderate Opportunity
120,Samoa,WSM,0.2,0.04,0.06,17.7,,,62.4,,5393,0.012,1.46,4.7,35.3,9.6,44.9,Tier 3: Moderate Opportunity
121,Kenya,KEN,56.4,12.07,18.11,21.4,15.5,10.2,120.6,32.1,2132,3.802,456.26,11.8,24.0,20.7,44.7,Tier 3: Moderate Opportunity
122,Italy,ITA,59.0,5.89,8.84,10.0,20.2,42.6,131.9,87.0,40385,1.855,222.64,0.6,15.5,29.1,44.6,Tier 3: Moderate Opportunity
123,Grenada,GRD,0.1,0.02,0.03,14.4,,,95.8,69.4,11705,0.005,0.64,2.2,26.4,18.1,44.5,Tier 3: Moderate Opportunity
124,Belarus,BLR,9.1,0.92,1.39,10.1,10.5,,129.0,91.5,8318,0.291,34.96,3.0,16.6,27.8,44.4,Tier 3: Moderate Opportunity
125,Maldives,MDV,0.5,0.06,0.10,12.2,14.8,,141.6,84.5,13379,0.020,2.43,1.9,19.0,25.1,44.1,Tier 3: Moderate Opportunity
126,Malawi,MWI,21.7,4.69,7.04,21.7,6.9,52.2,61.1,18.0,523,1.478,177.30,48.2,30.8,13.2,44.0,Tier 3: Moderate Opportunity
127,Mauritius,MUS,1.2,0.18,0.26,14.1,16.5,10.2,165.3,79.5,11991,0.055,6.63,2.1,16.8,27.1,43.9,Tier 3: Moderate Opportunity
128,St. Lucia,LCA,0.2,0.03,0.04,14.6,,,98.7,67.4,14182,0.008,0.99,1.8,25.5,18.4,43.9,Tier 3: Moderate Opportunity
129,Equatorial Guinea,GNQ,1.9,0.33,0.49,17.3,15.6,,49.5,63.5,6745,0.103,12.37,3.7,27.0,16.6,43.6,Tier 3: Moderate Opportunity
130,Israel,ISR,10.0,1.54,2.31,15.5,6.2,42.5,153.3,87.0,54177,0.486,58.32,0.5,14.2,29.4,43.6,Tier 3: Moderate Opportunity
131,Dominica,DMA,0.1,0.01,0.01,13.3,,,85.2,81.3,10405,0.003,0.33,2.4,24.9,18.6,43.5,Tier 3: Moderate Opportunity
132,Kosovo,XKX,1.6,0.27,0.41,17.1,,58.6,34.5,,7023,0.086,10.32,3.6,34.2,9.3,43.5,Tier 3: Moderate Opportunity
133,Kuwait,KWT,4.9,0.52,0.78,10.6,15.1,22.2,167.7,99.8,32718,0.164,19.66,0.8,12.2,31.4,43.5,Tier 3: Moderate Opportunity
134,Croatia,HRV,3.9,0.40,0.60,10.4,16.5,44.8,117.1,83.2,24050,0.127,15.19,1.0,18.6,24.8,43.4,Tier 3: Moderate Opportunity
135,Seychelles,SYC,0.1,0.02,0.02,12.8,,,129.2,86.0,17859,0.005,0.58,1.4,20.4,23.0,43.4,Tier 3: Moderate Opportunity
136,Mozambique,MOZ,34.6,6.99,10.48,20.2,11.5,50.0,47.5,19.9,657,2.201,264.12,38.4,30.4,12.9,43.3,Tier 3: Moderate Opportunity
137,Palau,PLW,0.0,0.00,0.00,12.3,,,135.4,82.9,15611,0.001,0.08,1.6,20.6,22.6,43.2,Tier 3: Moderate Opportunity
138,United Arab Emirates,ARE,11.0,1.42,2.13,12.9,,20.6,199.4,100.0,50274,0.446,53.56,0.5,8.4,34.7,43.1,Tier 3: Moderate Opportunity
139,Moldova,MDA,2.4,0.27,0.40,11.1,4.5,41.0,129.6,76.5,7576,0.084,10.07,3.3,18.6,24.4,43.0,Tier 3: Moderate Opportunity
140,Brunei Darussalam,BRN,0.5,0.07,0.10,14.7,17.9,,118.7,99.0,33153,0.021,2.57,0.8,17.0,25.6,42.6,Tier 3: Moderate Opportunity
141,Greece,GRC,10.4,1.08,1.61,10.3,22.4,30.1,110.8,85.0,24626,0.339,40.69,1.0,16.9,25.6,42.5,Tier 3: Moderate Opportunity
142,Poland,POL,36.6,3.62,5.44,9.9,,26.4,135.2,86.4,25104,1.142,136.99,1.0,13.7,28.8,42.5,Tier 3: Moderate Opportunity
143,Mongolia,MNG,3.5,0.49,0.74,14.0,11.5,4.1,141.1,83.7,6751,0.156,18.67,3.7,15.4,26.9,42.3,Tier 3: Moderate Opportunity
144,Central African Republic,CAF,5.3,1.20,1.79,22.4,10.0,,38.8,13.8,516,0.377,45.21,48.8,32.6,9.6,42.2,Tier 3: Moderate Opportunity
145,Ukraine,UKR,37.9,3.80,5.71,10.0,,7.1,133.4,81.6,5389,1.199,143.82,4.7,13.8,28.0,41.8,Tier 3: Moderate Opportunity
146,Bahrain,BHR,1.6,0.19,0.29,12.1,5.5,23.4,153.9,100.0,29654,0.061,7.28,0.8,11.7,29.4,41.1,Tier 3: Moderate Opportunity
147,Romania,ROU,19.1,2.10,3.15,11.0,,14.4,123.2,89.2,20080,0.661,79.34,1.3,12.8,27.8,40.6,Tier 3: Moderate Opportunity
148,Liberia,LBR,5.6,1.17,1.76,20.9,2.2,50.2,32.1,31.2,852,0.369,44.25,29.6,28.6,11.7,40.3,Tier 3: Moderate Opportunity
149,St. Kitts and Nevis,KNA,0.0,0.01,0.01,13.5,,,118.9,76.6,23961,0.002,0.24,1.1,18.8,20.4,39.2,Tier 4: Emerging Opportunity
150,Bulgaria,BGR,6.4,0.63,0.94,9.8,12.5,20.8,117.9,80.4,17596,0.198,23.75,1.4,13.8,24.9,38.7,Tier 4: Emerging Opportunity
151,Slovak Republic,SVK,5.4,0.54,0.81,9.9,,18.9,138.2,87.2,25993,0.169,20.30,1.0,11.4,27.3,38.7,Tier 4: Emerging Opportunity
152,Burundi,BDI,14.0,2.80,4.21,20.0,1.7,,63.2,7.2,219,0.884,106.02,114.8,26.8,11.3,38.0,Tier 4: Emerging Opportunity
153,Japan,JPN,124.0,11.77,17.65,9.5,3.9,2.6,178.4,85.0,32487,3.707,444.78,0.8,5.0,33.0,38.0,Tier 4: Emerging Opportunity
154,"Bahamas, The",BHS,0.4,0.06,0.09,14.2,18.3,,100.0,92.4,39455,0.018,2.16,0.6,14.8,23.0,37.8,Tier 4: Emerging Opportunity
155,Barbados,BRB,0.3,0.04,0.06,13.1,18.0,,114.6,69.7,26545,0.012,1.40,0.9,17.3,20.3,37.6,Tier 4: Emerging Opportunity
156,"Korea, Rep.",KOR,51.8,5.14,7.72,9.9,6.4,1.6,162.1,97.4,36239,1.620,194.45,0.7,4.7,32.8,37.5,Tier 4: Emerging Opportunity
157,Eritrea,ERI,3.5,0.79,1.18,22.2,10.1,,59.1,,,0.247,29.69,,23.4,13.8,37.2,Tier 4: Emerging Opportunity
158,Estonia,EST,1.4,0.14,0.21,10.4,19.3,1.8,150.2,93.2,31428,0.045,5.40,0.8,9.2,27.8,37.0,Tier 4: Emerging Opportunity
159,United States,USA,340.1,44.71,67.07,13.1,,12.3,112.4,93.5,84534,14.084,1690.09,0.3,6.4,30.6,37.0,Tier 4: Emerging Opportunity
160,Singapore,SGP,6.0,0.91,1.36,15.0,,1.1,173.2,94.3,90674,0.285,34.25,0.3,5.3,31.5,36.8,Tier 4: Emerging Opportunity
161,Latvia,LVA,1.9,0.19,0.29,10.3,13.6,10.3,119.9,92.2,23409,0.060,7.24,1.1,11.0,25.7,36.7,Tier 4: Emerging Opportunity
162,Luxembourg,LUX,0.7,0.07,0.11,10.8,21.7,,144.5,99.3,137782,0.023,2.75,0.2,9.0,27.7,36.6,Tier 4: Emerging Opportunity
163,"Hong Kong SAR, China",HKG,7.5,0.56,0.85,7.5,9.5,4.1,319.5,96.0,54075,0.178,21.35,0.5,3.2,33.3,36.5,Tier 4: Emerging Opportunity
164,Hungary,HUN,9.6,1.00,1.50,10.4,15.1,3.6,105.0,91.5,23292,0.314,37.70,1.1,10.1,26.0,36.2,Tier 4: Emerging Opportunity
